題號,類別,題目,解答
192,優先權,申請時漏了聲明主張國際優先權或聲明不完整，如何申請復權？,"申請人未依規定於申請時聲明主張國際優先權或聲明不完整(第一次申請日及受理國家或WTO會員兩者均記載錯誤或無記載)，嗣後欲補聲明或增加聲明優先權主張者，得於最早之優先權日後16個月（設計專利申請案為最早優先權日後10個月）內申請回復優先權主張，同時辦理下列事項：
(1) 繳納回復優先權主張申請費2000元。
(2) 聲明優先權基礎案之申請日、受理該申請之國家或WTO會員、申請案號數。
(3) 檢送優先權證明文件正本。
特別應注意者，上開行為（包括繳納申請費在內）必須於最早之優先權日後16個月（設計專利申請案為最早優先權日後10個月）內完成，逾期不予受理其復權之申請。惟申請費已繳納但金額不足者，將通知限期補正，屆期未補正者，始不予受理。"
193,優先權,申請時已聲明主張某項國際優先權，可以增加或變更為他項國際優先權嗎？,申請時已聲明主張某項國際優先權，要增加或修改為他項國際優先權，只能於最早之優先權日後16個月（設計專利申請案為最早優先權日後10個月）內，申請回復優先權主張(請參閱前題)。
194,優先權,國外的臨時申請案可以向我國主張優先權嗎？,可以。在我國提出之申請案申請專利範圍中所載之發明，如為已揭露於臨時申請案者，可以該臨時申請案為基礎案向我國主張優先權。
195,優先權,第一次國外申請案為臨時申請案，第二次為正式申請案，究應以臨時申請案或正式申請案向我國主張優先權？,"國外之臨時申請案(Provisional application)是指美國或澳洲的臨時申請案，此種申請案係申請人為先取得申請日而先行提出之申請案，無論其是否記載申請專利範圍，嗣後必須於特定期間內，再據以提出載有申請專利範圍之正式申請案，或將該臨時申請案轉換為正式申請案，而正式申請案得增加新的發明。惟若未於該特定期間內再提出或轉換為正式申請案者，該臨時申請案將於特定期間後視為放棄。
臨時申請案所揭露之發明為「第1次申請」。正式申請案所揭露之發明中已揭露於臨時申請案之部分並非「第1次申請」；但新增而未揭露於臨時申請案之部分，則為「第1次申請」。在我國提出之申請案申請專利範圍所載之發明，如為已揭露於臨時申請案者，係以該臨時申請案為基礎案；如為僅揭露於該正式申請案者，以該正式申請案為基礎案。"
196,優先權,請問專利設計申請案可以組合2個外國申請案之內容而主張複數國際優先權嗎？,"不行。
設計案件必須符合一設計一申請的原則，亦即設計專利申請案僅得包含單一之設計專利權範圍。若後申請案所揭露單一之設計係組合兩件或兩件以上外國申請案所揭露之設計內容，或後申請案所揭露單一之設計僅部分設計內容為外國申請案所揭露時，應判斷其非屬「相同設計」，不認可優先權的主張。不過，審查時若優先權日與後申請案申請日之間，未發現有任何可為不具專利要件之前案時，原則上將不就優先權基礎案與後申請案是否為「相同設計」進行判斷。"
197,優先權,同一個申請案在很多國家申請，應主張何者為優先權？,專利申請案主張優先權者(包含主張PCT、EPC、OHIM之申請案)，其優先權基礎案須為在WTO會員或互惠國領域內「第一次」提出之專利申請案。
198,優先權,專利申請案要主張PCT案優先權，於專利申請書上其受理國家應如何填寫？,可填寫WO或世界智慧財產權組織。
199,優先權,優先權證明文件可以用影本嗎？,"優先權證明文件應為外國或WTO會員專利受理機關署名核發之正本，不得為影本，且不可以法院或其他機關公證或認證之優先權證明文件影本代之。但同一申請人於2件以上之申請案中主張同一件國外基礎案之優先權時，如已於其中一件申請案提出優先權證明文件正本，其他申請案得以證明文件全份影本代之，惟須註明正本存於何案卷內。
申請人在最早之優先權日後16個月（設計專利申請案為最早優先權日後10個月）內如已檢送優先權證明文件首頁影本，本局將通知限期補正與影本為同一文件之正本，屆期未補正或補正後仍不齊備者，視為未主張優先權。"
200,優先權,檢送國際優先權證明文件的期間多長？可以申請延期嗎？,"發明及新型申請案檢送優先權證明文件之期間為最早之優先權日起16個月內，設計申請案為最早之優先權日起10個月內。
主張複數優先權時，全部優先權證明文件之檢送期間均自最早之優先權日起算。例如申請人主張A、B、C共3項優先權，其優先權日依序為a日、b日、c日，申請人自最早之優先權日(a日)起16個月(設計專利申請案為最早優先權日後10個月)內，僅補正B之優先權證明文件者，則A及C之優先權均視為未主張，不可以主張從次早優先權日(b日)重新計算補正C之優先權證明文件的期間。
檢送國際優先權證明文件之期間為法定期間，所以不得申請延期。惟申請人已於法定期間內檢送優先權證明文件影本者，本局將指定期間通知申請人補正與該影本為同一文件之正本。
"
201,優先權,主張國際優先權的期間或檢送國際優先權證明文件的期間最後一天遇到假日，可以順延嗎？,可以延至下一個工作天。
202,優先權,使用A國語文的外文本取得申請日，但因主張B國的國際優先權，所以優先權證明文件是B國專利局核發，並以B國語文撰寫，可以主張國際優先權嗎？,可以。主張一個國家的國際優先權，外文說明書不一定是要使用該國的語言。
203,優先權,智慧局與哪些國家的專利受理機關有「優先權證明文件電子交換」的合作？,"目前智慧局與日本特許廳及韓國智慧局可以電子交換提出優先權證明文件，與日本特許廳的合作自民國102年12月2日起開始實施；與韓國智慧局的合作自民國105年1月1日起開始實施。申請人可於申請專利同時於申請書上聲明以電子交換方式檢送優先權證明文件，其聲明方式分別如下：
(1)專利申請案以紙本方式提出申請：
A.申請人主張日本優先權者，僅須於申請書勾選  以電子交換方式檢送優先權證明文件，並勾選  日本，並依序載明申請日、申請案號、國外申請專利類別、存取碼。
B.申請人主張韓國優先權者，僅須於申請書勾選  以電子交換方式檢送優先權證明文件，並勾選  韓國，並依序載明申請日、申請案號。
(2)專利申請案以電子方式提出申請：
A.申請人主張日本優先權者，須於申請書填寫申請日、受理國家或地區、申請案號、專利類別與存取碼。
B.申請人主張韓國優先權者，須於申請書填寫申請日、受理國家或地區、申請案號與存取碼（請填寫「交換」）。"
204,優先權,是否所有的專利類別都可以電子交換優先權證明文件？,是，智慧局與日本特許廳及韓國智慧局合作之優先權證明文件電子交換初期僅適用於發明或新型專利，自民國111年1月1日起開始納入日本特許廳之設計專利，民國112年7月1日起納入韓國智慧局之設計專利。
205,優先權,"設計專利申請案所主張的優先權基礎案是發明、新型專利申請案時，可以適用優先權證明文件電子交換嗎？
",可以，智慧局分別自民國111年1月1日起與日本特許廳、民國112年7月1日起與韓國智慧局合作納入設計專利可以電子交換方式檢送優先權證明文件，臺灣的專利申請案，不論發明、新型或設計專利申請案，以日本提出的專利申請案作為優先權基礎案；亦或日本的專利申請案，以臺灣提出的專利申請案作為優先權基礎案時，不論申請案之基礎案是否為相同專利，都可以電子交換方式檢送優先權證明文件。
206,優先權,依專利合作條約規定以日本特許廳或韓國智慧局為受理局所提出之PCT申請案，作為臺灣專利申請案之優先權基礎案時，可以適用優先權證明文件電子交換嗎？,不可以。只有日本或韓國之國內專利申請案，作為臺灣專利申請案之優先權基礎案時，才可以適用優先權證明文件電子交換，如果是向日本特許廳或韓國智慧局提出之PCT申請案，不在臺日或臺韓優先權證明文件電子交換的適用範圍。反之，以臺灣專利申請案作為優先權基礎案，向日本或韓國提出PCT申請案時，也不在電子交換範圍。
